#HOLE:,940A
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg
99.5172,0.0629,0.2959,0.0818,0.3133,5.0929,20.0829,88.8040,263.3741,174.5654
99.6696,0.0609,0.2961,0.0818,0.3133,5.0937,20.0763,88.3823,263.0273,174.6386
99.8220,0.0586,0.2965,0.0815,0.3133,5.0980,20.0732,88.0291,262.7172,174.6804
99.9744,0.0522,0.2980,0.0815,0.3133,5.0957,20.0640,86.9294,261.6631,174.7217
100.1268,0.0467,0.2989,0.0814,0.3132,5.0969,20.0573,85.6584,260.4691,174.7936
100.2792,0.0419,0.2994,0.0818,0.3132,5.1044,20.0582,84.7286,259.5284,174.7789
100.4316,0.0350,0.3001,0.0815,0.3132,5.1110,20.0494,83.3692,258.2757,174.8804
100.5840,0.0199,0.3016,0.0813,0.3132,5.1136,20.0418,80.8014,255.7454,174.9080
100.7364,0.0243,0.3012,0.0814,0.3132,5.1089,20.0275,80.7863,255.7615,174.9392
100.8888,0.0208,0.3019,0.0813,0.3132,5.1160,20.0233,80.4395,255.4593,174.9824
101.0412,0.0230,0.3016,0.0811,0.3133,5.1284,20.0229,80.3580,255.4404,175.0445
101.1936,0.0206,0.3018,0.0813,0.3133,5.1334,20.0168,80.3504,255.4932,175.1048
101.3460,0.0174,0.3018,0.0814,0.3133,5.1326,20.0078,79.4598,254.6921,175.1911
101.4984,0.0320,0.3005,0.0812,0.3133,5.1365,20.0045,80.5309,255.7893,175.2211
